Id,Start time,Completion time,Email,Name,Interviewer Name,How did you get to this Nonna's today?,"        Just before coming here, where were you?",        Please select the area for your movie/ recreation?,        Please select the area of your shopping?,        Please select your area of work?,        Please select the area your college is located in?,Please select the area you're coming from?,Please specify where in Deccan?,Please specify where in Erandawne?,Please specify where in Kothrud?,Please specify where in Shivajinagar?,Please specify where in Old City?,"After leaving Nonna's today, where are you headed next?",Please select where are you going to?,        Please select the area you're going to for movies/ fun,        Please select the area you're going to for shopping,        Please select the area you're going to for work,        Please select your college area,Please select area in Deccan?,Please select area in Erandawne?,Please select area in Kothrud?,Please select area in Shivajinagar?,Please select area in Old City?,How many people are you here with?,When did you make a decision to eat at Nonna's?,Is it your first time visiting SiNonna's?,How did you discover Nonna's during your first visit?            ,How often do you visit Nonna's in particular?,What was the occasion of your eat out today?,What made you choose Nonna's for eating out?,How many times do you order Nonna's from Swiggy/ Zomato,How did you discover this Nonna's today?,What was the occasion for your visit to Nonna's today?,What brought you to Nonna's today?,How often do you eat out or order food from a restaurant?,How often do you eat out at a Premium/ Fine Dine Restaurant            ,Which of the following best depicts your age?,Gender,Marital Status,Occupation,What vehicle do you or your family own?,Where do you reside currently?,Would you visit Nonna's again in future?
1,6/24/2025 13:51,6/24/2025 14:17,anonymous,,Ks,Own Vehicle,Came from Work/ Office,,,Deccan,,,,,,,,To Work/ Office,,,,Deccan,,,,,,,2,Planned long back ,I come here often,Word of Mouth/ Recommendation,Once a quarter,Casual Meal,I wanted to try Sourdough Pizza,Never ordered online,,,,1 time per month,Once every 2-3 months,35-44,Female,,Salaried Professional,,,Yes
2,6/24/2025 14:41,6/24/2025 14:48,anonymous,,Ks,Own Vehicle,Came from Work/ Office,,,Shivajinagar,,,,,,,,To Work/ Office,,,,Shivajinagar,,,,,,,2,0-30 minutes ago,I come here often,Walk-in/ Saw it while passing by,2-3 times a month,Casual Meal,Casual Meal ,Never ordered online,,,,2-3 times a week,2-3 times a week,24-34,Male,,Freelancer,We own both,,Yes
3,6/24/2025 14:48,6/24/2025 14:51,anonymous,,Kd,Own Vehicle,At Home,,,,,Kothrud,,,Bhusari Colony / Kothrud Depot,,,To Home,kothrud,,,,,,,Bhusari Colony / Kothrud Depot,,,1,Planned long back ,I come here often,Walk-in/ Saw it while passing by,Once a quarter,Date,I wanted to try Sourdough Pizza,Never ordered online,,,,Once a week,1 time per month,18-24,Male,Unmarried/ Single,Salaried Professional,None,1 BHK,Yes
4,6/24/2025 14:48,6/24/2025 14:51,anonymous,,Ks,Auto/ Cab,Shopping,,Shivaji Nagar,,,,,,,,,To Work/ Office,,,,Shivajinagar,,,,,,,3,Planned yesterday,First time,,,,,,Social Media Ad (Instagram/ Facebook),Casual Meal,I wanted to try Sourdough Pizza ,Once a week,2-3 times a week,24-34,Female,Married but no kids,Entrepreneur/ Business Owner,We own a car,,Yes
5,6/24/2025 14:51,6/24/2025 15:36,anonymous,,Ks,Auto/ Cab,Shopping,,FC Road,,,,,,,,,To Home,Shivajinagar,,,,,,,,,,1,0-30 minutes ago,I come here often,Walk-in/ Saw it while passing by,Once a month,Casual Meal,I wanted to try Sourdough Pizza,Once a month,,,,2-3 times a week,2-3 times per month,24-34,Female,,Salaried Professional,None,,Yes
6,6/24/2025 14:51,6/24/2025 15:42,anonymous,,Kd,Own Vehicle,At Home,,,,,Deccan,Deccan,,,,,To Work/ Office,,,,Deccan,,,,,,,1,0-30 minutes ago,I come here often,Food Blogger/ Influencer,2-3 times a month,Work meeting/ Business outing,Nonna's famous Tiramisu ,Never ordered online,,,,Once a week,1 time per week,18-24,Female,Unmarried/ Single,Salaried Professional,We own a car,1 BHK,Yes
7,6/24/2025 15:36,6/24/2025 16:01,anonymous,,Ks,Auto/ Cab,Shopping,,FC Road,,,,,,,,,Shopping,,,FC Road,,,,,,,,3,1-3 hours ago,First time,,,,,,Reservation Apps - DineOut/ Zomato Gold,Hangout with friends,I wanted to try Sourdough Pizza ,2-3 times per month,2-3 times per month,18-24,Female,Unmarried/ Single,Salaried Professional,We own both,1 BHK,Yes
8,6/24/2025 15:42,6/24/2025 16:08,anonymous,,Kd,Own Vehicle,Shopping,,FC Road,,,,,,,,,To Home,Shivajinagar,,,,,,,,,,2,0-30 minutes ago,I come here often,Walk-in/ Saw it while passing by,2-3 times a month,Hangout with Friends,I wanted to try Sourdough Pizza,Never ordered online,,,,Almost Everyday,2-3 times per month,18-24,Female,Unmarried/ Single,Student,We own both,2BHK,Yes
9,6/24/2025 16:21,6/24/2025 16:29,anonymous,,Kd,Own Vehicle,At Home,,,,,Kothrud,,,Warje,,,To Work/ Office,,,,Warje,,,,,,,2,0-30 minutes ago,I come here often,Fried s,2-3 times a month,Work meeting/ Business outing,Friend ,2-3 times a month,,,,2-3 times per month,2-3 times per month,18-24,Female,Unmarried/ Single,Entrepreneur/ Business Owner,We own both,2BHK,Yes
10,6/24/2025 18:01,6/24/2025 18:06,anonymous,,Ks,Own Vehicle,Came from Work/ Office,,,Nibm,,,,,,,,To Work/ Office,,,,Deccan,,,,,,,1,0-30 minutes ago,I come here often,Word of Mouth/ Recommendation,Once a month,Casual Meal,I wanted to try Sourdough Pizza,Never ordered online,,,,Once a week,1 time per week,18-24,Male,Unmarried/ Single,Salaried Professional,We own a 2-wheeler,1 BHK,Yes
